DBN,School Name,Cohort Year,Total Cohort Num,Total Grads Num,Num achieving APM ,Pct of cohort achieving APM,Pct of graduates achieving APM
09X263,VALIDUS PREPARATORY ACADEMY,2006,120,90,4,3.30%,4.40%
09X263,VALIDUS PREPARATORY ACADEMY,2007,102,58,2,2.00%,3.40%
09X276,LEADERSHIP INSTITUTE,2006,67,36,5,7.50%,13.90%
09X276,LEADERSHIP INSTITUTE,2007,86,50,6,7.00%,12.00%
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,2006,99,67,10,10.10%,14.90%
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,2007,106,58,8,7.50%,13.80%
09X329,DREAMYARD PREPARATORY SCHOOL,2006,93,40,10,10.80%,25.00%
09X329,DREAMYARD PREPARATORY SCHOOL,2007,90,35,1,1.10%,2.90%
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,2007,90,61,5,5.60%,8.20%
09X403,BRONX INTERNATIONAL HIGH SCHOOL,2006,88,58,8,9.10%,13.80%
09X403,BRONX INTERNATIONAL HIGH SCHOOL,2007,104,61,13,12.50%,21.30%
09X404,SCHOOL FOR EXCELLENCE,2006,108,59,6,5.60%,10.20%
09X404,SCHOOL FOR EXCELLENCE,2007,125,74,9,7.20%,12.20%
09X412,BRONX HIGH SCHOOL OF BUSINESS,2006,110,54,11,10.00%,20.40%
09X412,BRONX HIGH SCHOOL OF BUSINESS,2007,122,56,6,4.90%,10.70%
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,2006,103,86,35,34.00%,40.70%
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,2007,70,54,18,25.70%,33.30%
09X414,JONATHAN LEVIN HS OF MEDIA AND COMMUNICATIONS,2006,123,56,8,6.50%,14.30%
09X414,JONATHAN LEVIN HS OF MEDIA AND COMMUNICATIONS,2007,132,49,6,4.50%,12.20%
09X505,BRONX SCHOOL FOR LAW GOVERNMENT AND JUSTICE,2006,122,94,8,6.60%,8.50%
09X505,BRONX SCHOOL FOR LAW GOVERNMENT AND JUSTICE,2007,99,65,8,8.10%,12.30%
09X517,FREDERICK DOUGLAS ACADEMY III SECONDARY SCHOOL,2006,87,68,14,16.10%,20.60%
09X517,FREDERICK DOUGLAS ACADEMY III SECONDARY SCHOOL,2007,89,63,6,6.70%,9.50%
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,2006,178,122,27,15.20%,22.10%
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,2007,166,106,14,8.40%,13.20%
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,2006,47,37,4,8.50%,10.80%
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,2007,50,33,2,4.00%,6.10%
10X141,RIVERDALE/KINGSBRIDGE ACADEMY (MS/HS 141),2006,135,117,36,26.70%,30.80%
